0,000   1,000   1,000   Inf
0,017   1,000   1,000   57,299
0,035   1,001   0,999   28,654
0,052   1,001   0,999   19,107
0,070   1,002   0,998   14,336
0,087   1,004   0,996   11,474
0,105   1,006   0,995   9,567
0,122   1,008   0,993   8,206
0,139   1,010   0,990   7,185
0,156   1,012   0,988   6,392
0,174   1,015   0,985   5,759
0,191   1,019   0,982   5,241
0,208   1,022   0,978   4,810
0,225   1,026   0,974   4,445
0,242   1,031   0,970   4,134
0,259   1,035   0,966   3,864
0,276   1,040   0,961   3,628
0,292   1,046   0,956   3,420
0,309   1,051   0,951   3,236
0,326   1,058   0,946   3,072
0,342   1,064   0,940   2,924
0,358   1,071   0,934   2,790
0,375   1,079   0,927   2,669
0,391   1,086   0,921   2,559
0,407   1,095   0,914   2,459
0,423   1,103   0,906   2,366
0,438   1,113   0,899   2,281
0,454   1,122   0,891   2,203
0,469   1,133   0,883   2,130
0,485   1,143   0,875   2,063
0,500   1,155   0,866   2,000
0,515   1,167   0,857   1,942
0,530   1,179   0,848   1,887
0,545   1,192   0,839   1,836
0,559   1,206   0,829   1,788
0,574   1,221   0,819   1,743
0,588   1,236   0,809   1,701
0,602   1,252   0,799   1,662
0,616   1,269   0,788   1,624
0,629   1,287   0,777   1,589
0,643   1,305   0,766   1,556
0,656   1,325   0,755   1,524
0,669   1,346   0,743   1,494
0,682   1,367   0,731   1,466
0,695   1,390   0,719   1,440
0,707   1,414   0,707   1,414
0,719   1,440   0,695   1,390
0,731   1,466   0,682   1,367
0,743   1,494   0,669   1,346
0,755   1,524   0,656   1,325
0,766   1,556   0,643   1,305
0,777   1,589   0,629   1,287
0,788   1,624   0,616   1,269
0,799   1,662   0,602   1,252
0,809   1,701   0,588   1,236
0,819   1,743   0,574   1,221
0,829   1,788   0,559   1,206
0,839   1,836   0,545   1,192
0,848   1,887   0,530   1,179
0,857   1,942   0,515   1,167
0,866   2,000   0,500   1,155
0,875   2,063   0,485   1,143
0,883   2,130   0,469   1,133
0,891   2,203   0,454   1,122
0,899   2,281   0,438   1,113
0,906   2,366   0,423   1,103
0,914   2,459   0,407   1,095
0,921   2,559   0,391   1,086
0,927   2,669   0,375   1,079
0,934   2,790   0,358   1,071
0,940   2,924   0,342   1,064
0,946   3,072   0,326   1,058
0,951   3,236   0,309   1,051
0,956   3,420   0,292   1,046
0,961   3,628   0,276   1,040
0,966   3,864   0,259   1,035
0,970   4,134   0,242   1,031
0,974   4,445   0,225   1,026
0,978   4,810   0,208   1,022
0,982   5,241   0,191   1,019
0,985   5,759   0,174   1,015
0,988   6,392   0,156   1,012
0,990   7,185   0,139   1,010
0,993   8,206   0,122   1,008
0,995   9,567   0,105   1,006
0,996   11,474   0,087   1,004
0,998   14,336   0,070   1,002
0,999   19,107   0,052   1,001
0,999   28,654   0,035   1,001
1,000   57,299   0,017   1,000
1,000   16331239353195370,000   0,000   1,000
1,000   -57,299   -0,017   1,000
0,999   -28,654   -0,035   1,001
0,999   -19,107   -0,052   1,001
0,998   -14,336   -0,070   1,002
0,996   -11,474   -0,087   1,004
0,995   -9,567   -0,105   1,006
0,993   -8,206   -0,122   1,008
0,990   -7,185   -0,139   1,010
0,988   -6,392   -0,156   1,012
